#,01июля2022,и,в,н,п,заб,про,разн,о
1,Верес,0,0,0,0,0,0,0,0
2,Ворскла,0,0,0,0,0,0,0,0
3,Динамо Київ,0,0,0,0,0,0,0,0
4,Дніпро-1,0,0,0,0,0,0,0,0
5,Зоря,0,0,0,0,0,0,0,0
6,Інгулець,0,0,0,0,0,0,0,0
7,Колос,0,0,0,0,0,0,0,0
8,Кривбас,0,0,0,0,0,0,0,0
9,Львів,0,0,0,0,0,0,0,0
10,Металіст,0,0,0,0,0,0,0,0
11,Металіст 1925,0,0,0,0,0,0,0,0
12,Минай,0,0,0,0,0,0,0,0
13,Олександрія,0,0,0,0,0,0,0,0
14,Рух,0,0,0,0,0,0,0,0
15,Чорноморець,0,0,0,0,0,0,0,0
16,Шахтар,0,0,0,0,0,0,0,0
